case_id,mode,policy_mode,source_mode,side,frame_idx,filename,L1_x,L1_y,L2_x,L2_y,R1_x,R1_y,R2_x,R2_y,L_bbox_TL_x,L_bbox_TL_y,L_bbox_TR_x,L_bbox_TR_y,L_bbox_BR_x,L_bbox_BR_y,L_bbox_BL_x,L_bbox_BL_y,R_bbox_TL_x,R_bbox_TL_y,R_bbox_TR_x,R_bbox_TR_y,R_bbox_BR_x,R_bbox_BR_y,R_bbox_BL_x,R_bbox_BL_y,L_conf,L1_conf,L2_conf,R_conf,R1_conf,R2_conf,L1_x3d,L1_y3d,L1_z3d,L2_x3d,L2_y3d,L2_z3d,R1_x3d,R1_y3d,R1_z3d,R2_x3d,R2_y3d,R2_z3d,L1_x_kf,L1_y_kf,L2_x_kf,L2_y_kf,R1_x_kf,R1_y_kf,R2_x_kf,R2_y_kf,L1_x3d_kf,L1_y3d_kf,L1_z3d_kf,L2_x3d_kf,L2_y3d_kf,L2_z3d_kf,R1_x3d_kf,R1_y3d_kf,R1_z3d_kf,R2_x3d_kf,R2_y3d_kf,R2_z3d_kf
17,2d,2d,2d,left,0,000017_left_video_0.jpg,634.7,472.0,627.3,513.3,906.7,409.5,820.4,375.9,0.0,236.6,565.9,236.6,565.9,442.2,0.0,442.2,797.7,326.9,1400.0,326.9,1400.0,498.0,797.7,498.0,0.7112,0.987,0.9591,0.8212,0.9999,0.9998,,,,,,,,,,,,,634.7,472.0,627.3,513.3,906.7,409.5,820.4,375.9,,,,,,,,,,,,
17,2d,2d,2d,right,0,000017_right_video_0.jpg,620.8,373.6,682.6,485.5,1070.1,380.9,978.6,351.3,0.2,95.9,707.2,95.9,707.2,488.6,0.2,488.6,951.2,297.6,1400.0,297.6,1400.0,451.2,951.2,451.2,0.6979,0.9997,0.9992,0.8314,0.9999,0.9998,,,,,,,,,,,,,620.8,373.6,682.6,485.5,1070.1,380.9,978.6,351.3,,,,,,,,,,,,
17,2d,2d,2d,left,1,000017_left_video_1.jpg,541.2,436.1,585.1,500.9,913.7,408.9,827.9,370.3,0.2,243.2,561.3,243.2,561.3,442.9,0.2,442.9,799.7,321.2,1400.0,321.2,1400.0,494.1,799.7,494.1,0.5522,0.9537,0.9042,0.8682,1.0,0.9998,,,,,,,,,,,,,559.8627,443.2657,593.5232,503.375,912.3028,409.0198,826.403,371.4178,,,,,,,,,,,,
17,2d,2d,2d,right,1,000017_right_video_1.jpg,624.6,364.0,693.7,466.4,1066.3,376.4,974.1,355.0,0.0,63.7,713.2,63.7,713.2,458.2,0.0,458.2,949.1,301.3,1400.0,301.3,1400.0,452.1,949.1,452.1,0.7559,0.9995,0.9977,0.8765,0.9999,0.9997,,,,,,,,,,,,,623.8415,365.9162,691.4844,470.2124,1067.0585,377.2982,974.9982,354.2615,,,,,,,,,,,,
17,2d,2d,2d,left,2,000017_left_video_2.jpg,512.5,431.2,569.6,505.6,908.4,412.6,818.8,372.6,0.4,252.2,561.9,252.2,561.9,478.4,0.4,478.4,796.7,325.1,1400.0,325.1,1400.0,496.9,796.7,496.9,0.6407,0.9904,0.9786,0.8571,1.0,0.9998,,,,,,,,,,,,,515.0152,430.573,571.398,503.7198,910.1503,411.6053,821.5658,371.7047,,,,,,,,,,,,
17,2d,2d,2d,right,2,000017_right_video_2.jpg,620.9,367.0,691.4,470.9,1063.2,380.3,974.7,360.2,0.0,66.1,709.8,66.1,709.8,473.5,0.0,473.5,947.6,303.1,1399.9,303.1,1399.9,452.6,947.6,452.6,0.7989,0.9998,0.9995,0.8571,0.9999,0.9997,,,,,,,,,,,,,622.0643,365.7106,692.5867,468.7168,1063.8055,379.0466,974.3054,359.0427,,,,,,,,,,,,
17,2d,2d,2d,left,3,000017_left_video_3.jpg,461.9,403.7,541.3,496.7,920.2,419.4,824.0,383.8,0.3,252.3,557.5,252.3,557.5,493.2,0.3,493.2,791.0,326.0,1400.0,326.0,1400.0,503.3,791.0,503.3,0.6772,0.9975,0.9948,0.7915,1.0,0.9999,,,,,,,,,,,,,465.4596,407.9426,544.4961,498.3172,917.0057,417.3796,822.746,379.7327,,,,,,,,,,,,
17,2d,2d,2d,right,3,000017_right_video_3.jpg,627.2,379.9,681.0,468.6,1059.4,383.6,970.1,362.7,0.0,84.9,708.9,84.9,708.9,483.5,0.0,483.5,941.3,310.8,1399.9,310.8,1399.9,458.5,941.3,458.5,0.6864,0.9999,0.9998,0.8797,0.9999,0.9997,,,,,,,,,,,,,625.4555,374.8671,685.4553,467.3414,1059.9923,382.2414,971.0607,362.6187,,,,,,,,,,,,
17,2d,2d,2d,left,4,000017_left_video_4.jpg,484.8,426.4,550.6,502.4,919.0,426.9,814.3,393.6,0.5,253.0,556.9,253.0,556.9,499.9,0.5,499.9,789.6,331.4,1400.0,331.4,1400.0,506.7,789.6,506.7,0.4597,0.9912,0.9791,0.8102,1.0,0.9999,,,,,,,,,,,,,459.9651,412.5309,539.3648,499.4817,919.4446,424.566,817.4337,389.5539,,,,,,,,,,,,
17,2d,2d,2d,right,4,000017_right_video_4.jpg,620.2,377.8,683.3,477.1,1060.2,392.9,967.8,363.9,0.0,91.0,707.4,91.0,707.4,485.5,0.0,485.5,939.8,311.4,1400.0,311.4,1400.0,465.2,939.8,465.2,0.7887,0.9999,0.9999,0.891,0.9999,0.9999,,,,,,,,,,,,,622.7402,377.9501,683.3716,472.2717,1058.9214,389.4346,968.233,364.7437,,,,,,,,,,,,
17,2d,2d,2d,left,5,000017_left_video_5.jpg,525.4,420.5,585.5,489.2,905.1,426.7,803.8,395.3,0.3,255.5,556.1,255.5,556.1,488.0,0.3,488.0,789.0,337.5,1400.0,337.5,1400.0,510.5,789.0,510.5,0.5963,0.9983,0.9956,0.8691,1.0,0.9999,,,,,,,,,,,,,483.3175,412.9518,558.0175,492.9649,912.6843,427.9048,808.8333,395.3265,,,,,,,,,,,,
