filename,L1_x,L1_y,L2_x,L2_y,R1_x,R1_y,R2_x,R2_y,L_bbox_TL_x,L_bbox_TL_y,L_bbox_TR_x,L_bbox_TR_y,L_bbox_BR_x,L_bbox_BR_y,L_bbox_BL_x,L_bbox_BL_y,R_bbox_TL_x,R_bbox_TL_y,R_bbox_TR_x,R_bbox_TR_y,R_bbox_BR_x,R_bbox_BR_y,R_bbox_BL_x,R_bbox_BL_y,L_conf,L1_conf,L2_conf,R_conf,R1_conf,R2_conf
000017_left_video_0.jpg,634.7,472.0,627.3,513.3,906.7,409.5,820.4,375.9,0.0,236.6,565.9,236.6,565.9,442.2,0.0,442.2,797.7,326.9,1400.0,326.9,1400.0,498.0,797.7,498.0,0.7112,0.987,0.9591,0.8212,0.9999,0.9998
000017_left_video_1.jpg,541.2,436.1,585.1,500.9,913.7,408.9,827.9,370.3,0.2,243.2,561.3,243.2,561.3,442.9,0.2,442.9,799.7,321.2,1400.0,321.2,1400.0,494.1,799.7,494.1,0.5522,0.9537,0.9042,0.8682,1.0,0.9998
000017_left_video_10.jpg,423.9,444.5,514.2,528.2,896.0,458.4,796.1,437.9,0.0,296.6,541.2,296.6,541.2,549.9,0.0,549.9,766.6,383.7,1400.0,383.7,1400.0,538.1,766.6,538.1,0.7393,0.9989,0.9977,0.8394,1.0,0.9998
000017_left_video_100.jpg,278.9,495.1,372.1,436.7,834.2,533.4,722.1,634.6,0.3,380.9,398.7,380.9,398.7,544.6,0.3,544.6,666.3,474.7,1400.0,474.7,1400.0,657.8,666.3,657.8,0.8585,0.9991,0.9993,0.8362,0.9999,0.9997
000017_left_video_1000.jpg,529.3,446.2,574.2,520.6,898.4,410.5,813.9,363.9,0.3,247.6,557.1,247.6,557.1,498.7,0.3,498.7,802.5,318.5,1400.0,318.5,1400.0,496.1,802.5,496.1,0.6257,0.9705,0.9322,0.8451,1.0,0.9998
000017_left_video_101.jpg,311.2,477.9,393.2,436.1,833.5,524.3,716.7,611.4,0.3,383.2,399.9,383.2,399.9,538.2,0.3,538.2,665.9,459.0,1400.0,459.0,1400.0,631.9,665.9,631.9,0.8646,0.9946,0.9975,0.8123,0.9999,0.9998
000017_left_video_102.jpg,277.0,477.0,382.7,436.2,826.3,511.5,730.3,604.8,0.3,371.7,401.4,371.7,401.4,529.6,0.3,529.6,672.7,457.2,1400.0,457.2,1400.0,617.6,672.7,617.6,0.8543,0.9994,0.9995,0.835,0.9999,0.9997
000017_left_video_103.jpg,274.7,466.6,379.2,432.7,837.8,495.1,734.6,588.1,0.2,358.0,403.5,358.0,403.5,523.5,0.2,523.5,673.3,448.7,1400.0,448.7,1400.0,608.5,673.3,608.5,0.871,0.9996,0.9996,0.8238,0.9999,0.9997
000017_left_video_104.jpg,323.5,477.7,398.5,452.3,836.3,488.8,727.3,574.1,1.0,351.4,407.2,351.4,407.2,514.6,1.0,514.6,671.9,445.2,1400.0,445.2,1400.0,600.2,671.9,600.2,0.8707,0.9983,0.9992,0.8451,0.9999,0.9997
000017_left_video_105.jpg,275.7,455.4,376.7,420.8,835.2,487.2,718.5,573.4,0.4,338.0,408.6,338.0,408.6,505.1,0.4,505.1,670.2,438.8,1400.0,438.8,1400.0,585.1,670.2,585.1,0.8562,0.9986,0.9986,0.8466,0.9999,0.9998
