case_id,mode,policy_mode,source_mode,side,frame_idx,filename,L1_x,L1_y,L2_x,L2_y,R1_x,R1_y,R2_x,R2_y,L_bbox_TL_x,L_bbox_TL_y,L_bbox_TR_x,L_bbox_TR_y,L_bbox_BR_x,L_bbox_BR_y,L_bbox_BL_x,L_bbox_BL_y,R_bbox_TL_x,R_bbox_TL_y,R_bbox_TR_x,R_bbox_TR_y,R_bbox_BR_x,R_bbox_BR_y,R_bbox_BL_x,R_bbox_BL_y,L_conf,L1_conf,L2_conf,R_conf,R1_conf,R2_conf,L1_x3d,L1_y3d,L1_z3d,L2_x3d,L2_y3d,L2_z3d,R1_x3d,R1_y3d,R1_z3d,R2_x3d,R2_y3d,R2_z3d,L1_x_kf,L1_y_kf,L2_x_kf,L2_y_kf,R1_x_kf,R1_y_kf,R2_x_kf,R2_y_kf,L1_x3d_kf,L1_y3d_kf,L1_z3d_kf,L2_x3d_kf,L2_y3d_kf,L2_z3d_kf,R1_x3d_kf,R1_y3d_kf,R1_z3d_kf,R2_x3d_kf,R2_y3d_kf,R2_z3d_kf
20,monster,monster,monster,left,0,000020_left_video_0.jpg,344.8,293.1,422.4,342.6,959.1,862.4,907.7,897.7,0.0,184.7,421.6,184.7,421.6,354.7,0.0,354.7,905.1,793.5,1398.7,793.5,1398.7,982.3,905.1,982.3,0.8912,0.9997,0.9991,0.8728,0.9816,0.8745,-5.2109,-15.1015,194.5112,2.2207,-12.9873,237.8857,60.6601,43.8564,234.0445,54.7371,47.4227,232.6724,344.8,293.1,422.4,342.6,959.1,862.4,907.7,897.7,-5.2109,-15.1015,194.5112,2.2207,-12.9873,237.8857,60.6601,43.8564,234.0445,54.7371,47.4227,232.6724
20,monster,monster,monster,right,0,000020_right_video_0.jpg,490.6,266.7,561.8,310.3,1104.0,828.4,1042.1,850.6,2.4,136.4,562.3,136.4,562.3,325.4,2.4,325.4,1046.2,767.4,1400.0,767.4,1400.0,900.8,1046.2,900.8,0.9075,0.9999,0.9998,0.7402,0.9968,0.9976,-5.2109,-15.1015,194.5112,2.2207,-12.9873,237.8857,60.6601,43.8564,234.0445,54.7371,47.4227,232.6724,490.6,266.7,561.8,310.3,1104.0,828.4,1042.1,850.6,-5.2109,-15.1015,194.5112,2.2207,-12.9873,237.8857,60.6601,43.8564,234.0445,54.7371,47.4227,232.6724
20,monster,monster,monster,left,1,000020_left_video_1.jpg,345.9,297.2,423.2,342.2,950.8,863.3,891.0,876.9,0.0,186.8,421.0,186.8,421.0,355.7,0.0,355.7,903.4,797.4,1398.6,797.4,1398.6,981.8,903.4,981.8,0.9062,0.9995,0.999,0.8701,0.9722,0.7074,-5.1606,-14.8724,196.3879,2.3077,-13.0229,237.7273,59.5568,43.8081,233.2653,53.345,45.5254,234.5043,345.6804,296.3816,423.0403,342.2798,952.4567,863.1204,894.3333,881.0517,-5.1706,-14.9181,196.0133,2.2903,-13.0158,237.7589,59.777,43.8177,233.4208,53.6229,45.9041,234.1387
20,monster,monster,monster,right,1,000020_right_video_1.jpg,492.0,268.0,561.7,302.4,1097.8,822.1,1027.6,838.9,2.1,134.8,560.7,134.8,560.7,324.5,2.1,324.5,1033.6,761.5,1399.9,761.5,1399.9,902.7,1033.6,902.7,0.9079,0.9999,0.9997,0.658,0.9961,0.997,-5.1606,-14.8724,196.3879,2.3077,-13.0229,237.7273,59.5568,43.8081,233.2653,53.345,45.5254,234.5043,491.7206,267.7405,561.72,303.9768,1099.0375,823.3575,1030.4942,841.2353,-5.1706,-14.9181,196.0133,2.2903,-13.0158,237.7589,59.777,43.8177,233.4208,53.6229,45.9041,234.1387
20,monster,monster,monster,left,2,000020_left_video_2.jpg,347.6,294.1,425.8,338.0,955.4,847.1,897.4,869.5,0.0,185.3,422.7,185.3,422.7,353.5,0.0,353.5,906.9,791.7,1399.5,791.7,1399.5,979.5,906.9,979.5,0.8984,0.9997,0.9992,0.8581,0.9205,0.6675,-5.0241,-15.213,197.1292,2.5623,-13.3153,234.6878,59.9608,41.982,232.8942,53.8842,44.5856,233.8124,347.2158,295.124,425.1657,339.0719,953.763,851.3639,894.8495,870.3238,-5.057,-15.1122,197.0357,2.5006,-13.2411,235.4705,59.7972,42.4547,232.9495,53.6701,44.7297,234.0895
20,monster,monster,monster,right,2,000020_right_video_2.jpg,491.5,265.6,562.7,308.7,1076.8,822.8,1001.2,841.8,2.1,132.6,561.6,132.6,561.6,325.1,2.1,325.1,989.7,758.7,1400.0,758.7,1400.0,901.3,989.7,901.3,0.9109,0.9999,0.9997,0.6507,0.9975,0.9983,-5.0241,-15.213,197.1292,2.5623,-13.3153,234.6878,59.9608,41.982,232.8942,53.8842,44.5856,233.8124,491.7043,266.2935,562.4344,306.6418,1081.9369,822.284,1007.3025,840.4253,-5.057,-15.1122,197.0357,2.5006,-13.2411,235.4705,59.7972,42.4547,232.9495,53.6701,44.7297,234.0895
20,monster,monster,monster,left,3,000020_left_video_3.jpg,347.0,293.8,424.7,331.8,951.8,844.7,900.8,872.3,0.6,182.9,423.5,182.9,423.5,352.7,0.6,352.7,909.8,787.4,1399.4,787.4,1399.4,981.6,909.8,981.6,0.8947,0.9995,0.999,0.849,0.933,0.8334,-5.0662,-15.2018,196.6279,2.4498,-14.0365,235.4225,59.9734,42.0039,234.4692,53.9842,44.667,232.6487,347.4083,294.2071,425.2793,333.4877,952.2155,844.699,898.122,868.5979,-5.0398,-15.1968,197.0444,2.509,-13.8284,235.0099,59.8624,41.894,233.8612,53.8192,44.3701,233.1928
20,monster,monster,monster,right,3,000020_right_video_3.jpg,499.2,262.7,570.9,297.4,1116.9,814.8,1049.5,833.9,0.0,131.5,564.4,131.5,564.4,322.8,0.0,322.8,1050.4,756.6,1400.0,756.6,1400.0,896.8,1050.4,896.8,0.8965,0.9999,0.9998,0.8372,0.9896,0.9963,-5.0662,-15.2018,196.6279,2.4498,-14.0365,235.4225,59.9734,42.0039,234.4692,53.9842,44.667,232.6487,496.9043,263.6394,568.3517,300.3848,1102.3921,816.6303,1031.1472,835.1869,-5.0398,-15.1968,197.0444,2.509,-13.8284,235.0099,59.8624,41.894,233.8612,53.8192,44.3701,233.1928
20,monster,monster,monster,left,4,000020_left_video_4.jpg,348.7,294.3,427.2,334.9,957.6,840.2,899.4,864.1,0.5,183.1,424.8,183.1,424.8,351.2,0.5,351.2,905.3,786.2,1399.4,786.2,1399.4,980.0,905.3,980.0,0.8982,0.9995,0.9989,0.8536,0.955,0.9382,-4.898,-15.1172,196.1248,2.7346,-13.7512,236.3582,60.5694,41.4874,234.326,54.2136,44.0887,234.2952,348.46,294.0936,426.7645,332.9673,955.1267,839.3691,898.9748,863.5179,-4.934,-15.1779,196.6658,2.6777,-13.9136,235.4813,60.274,41.3794,234.2272,54.0462,43.9269,233.7704
20,monster,monster,monster,right,4,000020_right_video_4.jpg,503.5,262.5,571.2,301.5,1112.5,805.9,1055.7,835.1,0.1,130.5,564.3,130.5,564.3,321.1,0.1,321.1,1054.0,755.8,1399.9,755.8,1399.9,896.6,1054.0,896.6,0.8937,0.9999,0.9998,0.7713,0.9977,0.9984,-4.898,-15.1172,196.1248,2.7346,-13.7512,236.3582,60.5694,41.4874,234.326,54.2136,44.0887,234.2952,501.9449,262.3367,571.2444,299.9996,1110.0211,808.6597,1047.2738,833.6966,-4.934,-15.1779,196.6658,2.6777,-13.9136,235.4813,60.274,41.3794,234.2272,54.0462,43.9269,233.7704
