filename,L1_x,L1_y,L2_x,L2_y,R1_x,R1_y,R2_x,R2_y,L_bbox_TL_x,L_bbox_TL_y,L_bbox_TR_x,L_bbox_TR_y,L_bbox_BR_x,L_bbox_BR_y,L_bbox_BL_x,L_bbox_BL_y,R_bbox_TL_x,R_bbox_TL_y,R_bbox_TR_x,R_bbox_TR_y,R_bbox_BR_x,R_bbox_BR_y,R_bbox_BL_x,R_bbox_BL_y,L_conf,L1_conf,L2_conf,R_conf,R1_conf,R2_conf,L1_x3d,L1_y3d,L1_z3d,L2_x3d,L2_y3d,L2_z3d,R1_x3d,R1_y3d,R1_z3d,R2_x3d,R2_y3d,R2_z3d
000017_left_video_0.jpg,634.7,472.0,627.3,513.3,906.7,409.5,820.4,375.9,0.0,236.6,565.9,236.6,565.9,442.2,0.0,442.2,797.7,326.9,1400.0,326.9,1400.0,498.0,797.7,498.0,0.7112,0.987,0.9591,0.8212,0.9999,0.9998,2.4459,1.7573,261.3168,1.5191,6.889,260.6143,35.9915,-5.9745,258.6328,26.0088,-10.3886,265.4572
000017_left_video_1.jpg,541.2,436.1,585.1,500.9,913.7,408.9,827.9,370.3,0.2,243.2,561.3,243.2,561.3,442.9,0.2,442.9,799.7,321.2,1400.0,321.2,1400.0,494.1,799.7,494.1,0.5522,0.9537,0.9042,0.8682,1.0,0.9998,-7.716,-2.2774,218.8383,-3.7941,5.4398,265.1447,36.7905,-6.0379,258.177,26.9446,-11.0921,265.3165
000017_left_video_10.jpg,423.9,444.5,514.2,528.2,896.0,458.4,796.1,437.9,0.0,296.6,541.2,296.6,541.2,549.9,0.0,549.9,766.6,383.7,1400.0,383.7,1400.0,538.1,766.6,538.1,0.7393,0.9989,0.9977,0.8394,1.0,0.9998,-18.8329,-1.3207,206.4218,-12.7908,8.9121,265.6823,34.9316,0.0612,260.5777,23.1087,-2.5542,267.52
000017_left_video_100.jpg,278.9,495.1,372.1,436.7,834.2,533.4,722.1,634.6,0.3,380.9,398.7,380.9,398.7,544.6,0.3,544.6,666.3,474.7,1400.0,474.7,1400.0,657.8,666.3,657.8,0.8585,0.9991,0.9993,0.8362,0.9999,0.9997,-30.6026,3.3856,190.7533,-23.7467,-2.0726,204.7932,26.1569,9.012,250.1548,12.8964,21.2933,252.5333
000017_left_video_1000.jpg,529.3,446.2,574.2,520.6,898.4,410.5,813.9,363.9,0.3,247.6,557.1,247.6,557.1,498.7,0.3,498.7,802.5,318.5,1400.0,318.5,1400.0,496.1,802.5,496.1,0.6257,0.9705,0.9322,0.8451,1.0,0.9998,-8.9286,-1.2185,218.1033,-5.2033,7.9785,266.6871,34.9292,-5.8448,258.3527,25.2172,-11.9237,265.7924
000017_left_video_101.jpg,311.2,477.9,393.2,436.1,833.5,524.3,716.7,611.4,0.3,383.2,399.9,383.2,399.9,538.2,0.3,538.2,665.9,459.0,1400.0,459.0,1400.0,631.9,665.9,631.9,0.8646,0.9946,0.9975,0.8123,0.9999,0.9998,-28.5323,1.8771,196.7523,-28.2405,-2.7756,266.7081,26.0973,7.9329,250.3843,12.3283,18.6224,254.2391
000017_left_video_102.jpg,277.0,477.0,382.7,436.2,826.3,511.5,730.3,604.8,0.3,371.7,401.4,371.7,401.4,529.6,0.3,529.6,672.7,457.2,1400.0,457.2,1400.0,617.6,672.7,617.6,0.8543,0.9994,0.9995,0.835,0.9999,0.9997,-30.5829,1.7271,189.559,-29.5299,-2.7584,266.284,25.4436,6.4559,252.4342,13.9546,17.7915,253.8081
000017_left_video_103.jpg,274.7,466.6,379.2,432.7,837.8,495.1,734.6,588.1,0.2,358.0,403.5,358.0,403.5,523.5,0.2,523.5,673.3,448.7,1400.0,448.7,1400.0,608.5,673.3,608.5,0.871,0.9996,0.9996,0.8238,0.9999,0.9997,-31.0017,0.7917,190.8565,-28.6882,-3.0657,254.8555,26.8636,4.4861,252.7605,14.521,15.8183,254.6058
000017_left_video_104.jpg,323.5,477.7,398.5,452.3,836.3,488.8,727.3,574.1,1.0,351.4,407.2,351.4,407.2,514.6,1.0,514.6,671.9,445.2,1400.0,445.2,1400.0,600.2,671.9,600.2,0.8707,0.9983,0.9992,0.8451,0.9999,0.9997,-35.3163,2.3972,253.8057,-27.1928,-0.7041,263.0981,27.1188,3.7871,256.8921,13.6629,14.1473,255.1455
000017_left_video_105.jpg,275.7,455.4,376.7,420.8,835.2,487.2,718.5,573.4,0.4,338.0,408.6,338.0,408.6,505.1,0.4,505.1,670.2,438.8,1400.0,438.8,1400.0,585.1,670.2,585.1,0.8562,0.9986,0.9986,0.8466,0.9999,0.9998,-30.7316,-0.2271,189.7509,-23.0393,-3.5864,202.5267,26.8466,3.5727,255.5844,12.5827,14.0523,254.969
