filename,L1_x,L1_y,L2_x,L2_y,R1_x,R1_y,R2_x,R2_y,L_bbox_TL_x,L_bbox_TL_y,L_bbox_TR_x,L_bbox_TR_y,L_bbox_BR_x,L_bbox_BR_y,L_bbox_BL_x,L_bbox_BL_y,R_bbox_TL_x,R_bbox_TL_y,R_bbox_TR_x,R_bbox_TR_y,R_bbox_BR_x,R_bbox_BR_y,R_bbox_BL_x,R_bbox_BL_y,L_conf,L1_conf,L2_conf,R_conf,R1_conf,R2_conf,L1_x3d,L1_y3d,L1_z3d,L2_x3d,L2_y3d,L2_z3d,R1_x3d,R1_y3d,R1_z3d,R2_x3d,R2_y3d,R2_z3d
000017_left_video_0.jpg,634.7,472.0,627.3,513.3,906.7,409.5,820.4,375.9,0.0,236.6,565.9,236.6,565.9,442.2,0.0,442.2,797.7,326.9,1400.0,326.9,1400.0,498.0,797.7,498.0,0.7112,0.987,0.9591,0.8212,0.9999,0.9998,-0.5401,-2.1458,71.6152,0.6886,1.451,96.769,48.2178,-10.1075,269.3138,31.2588,-13.1427,239.506
000017_left_video_1.jpg,541.2,436.1,585.1,500.9,913.7,408.9,827.9,370.3,0.2,243.2,561.3,243.2,561.3,442.9,0.2,442.9,799.7,321.2,1400.0,321.2,1400.0,494.1,799.7,494.1,0.5522,0.9537,0.9042,0.8682,1.0,0.9998,-2.6201,-3.1824,94.1762,-0.327,1.5868,118.0639,44.5627,-9.2677,248.249,30.5787,-12.7568,234.8779
000017_left_video_10.jpg,423.9,444.5,514.2,528.2,896.0,458.4,796.1,437.9,0.0,296.6,541.2,296.6,541.2,549.9,0.0,549.9,766.6,383.7,1400.0,383.7,1400.0,538.1,766.6,538.1,0.7393,0.9989,0.9977,0.8394,1.0,0.9998,-37.5731,-7.9608,295.0,-9.024,7.3175,215.452,35.5743,-2.0903,206.1859,25.4583,-4.231,222.3434
000017_left_video_100.jpg,278.9,495.1,372.1,436.7,834.2,533.4,722.1,634.6,0.3,380.9,398.7,380.9,398.7,544.6,0.3,544.6,666.3,474.7,1400.0,474.7,1400.0,657.8,666.3,657.8,0.8585,0.9991,0.9993,0.8362,0.9999,0.9997,-19.5749,1.2186,120.6686,-13.8958,-1.8432,123.047,23.6899,5.477,175.2257,19.4343,21.2112,262.1141
000017_left_video_1000.jpg,529.3,446.2,574.2,520.6,898.4,410.5,813.9,363.9,0.3,247.6,557.1,247.6,557.1,498.7,0.3,498.7,802.5,318.5,1400.0,318.5,1400.0,496.1,802.5,496.1,0.6257,0.9705,0.9322,0.8451,1.0,0.9998,-3.4101,-2.9488,112.1396,-0.8617,2.9315,117.7842,55.8759,-12.441,295.0,30.9224,-14.3521,245.3116
000017_left_video_101.jpg,311.2,477.9,393.2,436.1,833.5,524.3,716.7,611.4,0.3,383.2,399.9,383.2,399.9,538.2,0.3,538.2,665.9,459.0,1400.0,459.0,1400.0,631.9,665.9,631.9,0.8646,0.9946,0.9975,0.8123,0.9999,0.9998,-23.0298,0.4481,139.6665,-15.9369,-2.6743,142.3232,23.5848,4.4856,175.5973,17.1085,17.775,231.6803
000017_left_video_102.jpg,277.0,477.0,382.7,436.2,826.3,511.5,730.3,604.8,0.3,371.7,401.4,371.7,401.4,529.6,0.3,529.6,672.7,457.2,1400.0,457.2,1400.0,617.6,672.7,617.6,0.8543,0.9994,0.9995,0.835,0.9999,0.9997,-28.6226,-0.1861,167.3583,-18.373,-3.3358,161.256,24.0596,3.4202,178.4939,13.5097,12.4115,175.1741
000017_left_video_103.jpg,274.7,466.6,379.2,432.7,837.8,495.1,734.6,588.1,0.2,358.0,403.5,358.0,403.5,523.5,0.2,523.5,673.3,448.7,1400.0,448.7,1400.0,608.5,673.3,608.5,0.871,0.9996,0.9996,0.8238,0.9999,0.9997,-24.3429,-0.4653,146.0866,-16.5962,-2.9693,148.1281,24.1599,2.3779,176.4805,13.6053,10.9028,174.3676
000017_left_video_104.jpg,323.5,477.7,398.5,452.3,836.3,488.8,727.3,574.1,1.0,351.4,407.2,351.4,407.2,514.6,1.0,514.6,671.9,445.2,1400.0,445.2,1400.0,600.2,671.9,600.2,0.8707,0.9983,0.9992,0.8451,0.9999,0.9997,-23.9589,-1.0481,145.1966,-16.4199,-3.2941,146.684,25.1475,1.8092,183.3771,16.5326,12.2036,220.1553
000017_left_video_105.jpg,275.7,455.4,376.7,420.8,835.2,487.2,718.5,573.4,0.4,338.0,408.6,338.0,408.6,505.1,0.4,505.1,670.2,438.8,1400.0,438.8,1400.0,585.1,670.2,585.1,0.8562,0.9986,0.9986,0.8466,0.9999,0.9998,-26.2421,-1.7655,156.6797,-16.7564,-4.2001,147.7561,24.348,1.0736,177.1434,17.3791,12.1328,237.0878
000017_left_video_106.jpg,296.5,458.3,388.9,422.7,837.8,475.4,720.7,562.9,0.4,335.1,412.8,335.1,412.8,498.1,0.4,498.1,671.3,427.0,1400.0,427.0,1400.0,576.0,671.3,576.0,0.882,0.9981,0.9987,0.8308,0.9999,0.9998,-19.2095,-1.6165,122.3256,-13.284,-3.7237,125.2236,22.9188,0.1395,165.9549,17.0967,10.8809,231.7529
000017_left_video_107.jpg,359.7,465.3,426.8,444.0,838.0,465.6,723.6,552.6,0.7,328.2,413.5,328.2,413.5,492.7,0.7,492.7,672.3,421.7,1400.0,421.7,1400.0,559.7,672.3,559.7,0.8578,0.9953,0.9977,0.8356,0.9999,0.9999,-12.079,-1.3182,87.742,-9.7989,-2.9355,103.523,24.0416,-0.6494,173.8797,18.1019,9.9406,246.7742
000017_left_video_108.jpg,380.8,461.2,435.1,441.2,837.4,462.4,718.1,534.9,0.8,318.3,413.8,318.3,413.8,484.3,0.8,484.3,671.9,415.7,1400.0,415.7,1400.0,548.5,671.9,548.5,0.7976,0.9965,0.9983,0.87,0.9999,0.9998,-13.5187,-2.0771,95.9937,-11.1927,-3.7019,114.4419,25.8817,-1.3929,186.3253,18.2953,8.4213,251.2517
000017_left_video_109.jpg,306.9,436.1,393.4,416.6,840.9,456.4,721.4,526.4,0.1,311.0,416.3,311.0,416.3,468.7,0.1,468.7,670.7,410.3,1400.0,410.3,1400.0,544.2,670.7,544.2,0.8326,0.9983,0.9987,0.8757,0.9999,0.9998,-16.3943,-2.9566,112.0891,-14.8375,-5.2854,143.6694,24.9276,-1.9819,177.0266,17.0241,6.6437,229.7117
000017_left_video_11.jpg,417.5,450.2,506.9,523.8,900.0,460.4,791.3,452.4,0.0,297.3,540.8,297.3,540.8,546.0,0.0,546.0,767.2,387.7,1400.0,387.7,1400.0,541.5,767.2,541.5,0.7745,0.9995,0.9989,0.848,1.0,0.9998,-42.258,-8.1812,295.0,-7.6389,6.9648,187.5716,33.7564,-1.3702,195.3307,23.7587,-2.8054,209.473
000017_left_video_110.jpg,337.0,440.4,401.9,419.7,847.7,447.7,727.1,512.4,0.9,308.1,415.4,308.1,415.4,457.1,0.9,457.1,670.9,401.9,1400.0,401.9,1400.0,537.1,670.9,537.1,0.8414,0.9974,0.998,0.8686,0.9999,0.9998,-18.4701,-4.0457,123.3772,-17.3348,-6.784,163.695,23.5373,-2.5912,165.1902,15.145,4.7065,196.7577
000017_left_video_111.jpg,300.2,408.3,388.2,400.5,845.7,441.3,735.7,499.4,0.3,300.2,421.8,300.2,421.8,453.3,0.3,453.3,673.1,389.7,1400.0,389.7,1400.0,530.7,673.1,530.7,0.841,0.9993,0.9995,0.8533,0.9999,0.9998,-22.4344,-5.6705,142.2315,-17.7083,-7.5341,164.4505,25.7274,-3.6794,181.5266,15.4095,3.2907,196.1235
000017_left_video_112.jpg,295.7,402.4,396.9,385.0,840.9,434.9,729.4,493.2,0.0,288.4,423.0,288.4,423.0,446.4,0.0,446.4,674.6,378.7,1400.0,378.7,1400.0,525.4,674.6,525.4,0.8621,0.9989,0.9989,0.8497,0.9999,0.9998,-25.1319,-7.0418,155.8184,-17.0484,-7.8206,159.4159,25.9107,-4.4794,181.9082,15.215,2.1971,192.6234
000017_left_video_113.jpg,293.7,393.5,395.0,381.5,852.0,415.7,735.2,480.3,0.0,285.2,423.3,285.2,423.3,440.4,0.0,440.4,678.9,372.8,1399.8,372.8,1399.8,514.5,678.9,514.5,0.8671,0.9994,0.9992,0.8599,0.9999,0.9997,-26.9209,-8.1393,165.818,-16.8871,-8.3088,160.3158,24.7229,-5.1236,170.4895,15.0419,1.0506,186.2788
000017_left_video_114.jpg,295.7,388.1,404.4,374.9,852.2,408.6,737.1,472.3,0.4,270.9,430.3,270.9,430.3,433.3,0.4,433.3,680.1,372.4,1400.0,372.4,1400.0,508.5,680.1,508.5,0.8173,0.999,0.9987,0.8527,0.9999,0.9998,-23.8009,-7.8985,151.3362,-15.1469,-8.0739,149.848,25.4227,-6.0628,175.4285,15.2173,0.1244,185.4963
000017_left_video_115.jpg,329.8,379.7,416.4,381.8,846.5,401.5,739.3,465.8,0.2,267.0,431.0,267.0,431.0,425.9,0.2,425.9,680.7,361.0,1400.0,361.0,1400.0,502.0,680.7,502.0,0.8034,0.9983,0.9986,0.8017,0.9999,0.9998,-27.0224,-10.0228,171.2511,-14.9985,-8.4422,151.5917,26.7181,-7.1029,185.3674,16.3522,-1.1221,202.7408
000017_left_video_116.jpg,290.3,368.0,407.7,367.1,848.1,398.4,729.5,458.3,0.1,247.8,430.9,247.8,430.9,420.2,0.1,420.2,679.5,356.6,1400.0,356.6,1400.0,496.6,679.5,496.6,0.8033,0.9997,0.9995,0.8167,0.9999,0.9998,-36.9456,-14.1177,227.9025,-16.7279,-9.5183,169.6717,35.4382,-10.5664,245.5085,19.0155,-2.2015,241.5301
000017_left_video_117.jpg,296.3,369.3,413.6,364.7,848.7,386.9,744.8,452.7,0.0,244.6,432.5,244.6,432.5,419.6,0.0,419.6,685.0,343.8,1400.0,343.8,1400.0,488.2,685.0,488.2,0.8001,0.9985,0.9982,0.8203,0.9999,0.9998,-46.4368,-18.2732,286.7696,-17.5914,-10.3119,182.8883,41.5282,-13.2627,285.4229,24.3992,-4.4394,293.6544
000017_left_video_118.jpg,296.7,361.8,420.0,361.3,854.6,381.7,750.0,437.8,0.1,245.5,436.9,245.5,436.9,408.8,0.1,408.8,686.6,340.2,1400.0,340.2,1400.0,483.8,686.6,483.8,0.8303,0.9884,0.9887,0.8381,0.9999,0.9998,-48.4127,-19.8689,295.0,-17.3222,-10.4171,182.7754,37.0888,-12.3147,250.5823,26.8087,-6.385,295.0
000017_left_video_119.jpg,299.0,354.8,417.4,360.1,861.2,383.8,763.8,426.9,0.2,233.4,436.3,233.4,436.3,402.2,0.2,402.2,684.0,335.8,1400.0,335.8,1400.0,480.3,684.0,480.3,0.8413,0.9962,0.9958,0.8227,0.9999,0.9998,-43.8849,-18.8382,272.9452,-16.6863,-10.102,176.1608,34.6687,-11.5753,231.0305,22.5241,-6.324,235.6031
000017_left_video_12.jpg,511.5,514.4,532.4,558.2,897.9,471.7,793.3,460.7,0.3,292.4,537.0,292.4,537.0,517.8,0.3,517.8,762.3,397.4,1400.0,397.4,1400.0,546.4,762.3,546.4,0.3136,0.9253,0.907,0.8343,1.0,0.9998,-36.4332,-6.3267,295.0,-6.6124,6.8061,170.9878,29.9938,-0.7768,174.7052,20.6264,-1.3952,183.75
000017_left_video_120.jpg,299.4,353.1,417.8,362.9,859.5,395.5,777.1,405.0,0.0,219.8,437.4,219.8,437.4,404.3,0.0,404.3,800.0,333.9,1400.0,333.9,1400.0,477.1,800.0,477.1,0.8466,0.9986,0.9981,0.7931,0.9997,0.9986,-39.9444,-17.9509,251.5988,-16.0304,-10.0336,170.6918,36.5713,-12.3576,244.3591,23.0659,-7.4919,237.6879
000017_left_video_121.jpg,310.3,342.7,421.6,361.4,855.0,389.1,757.9,419.3,0.1,216.1,438.6,216.1,438.6,399.9,0.1,399.9,702.2,333.5,1400.0,333.5,1400.0,474.6,702.2,474.6,0.8443,0.9994,0.9991,0.8157,0.9999,0.9997,-35.6505,-16.6914,227.2546,-15.0373,-9.6277,161.6452,36.3671,-12.8243,244.3657,25.0122,-8.7182,265.1498
000017_left_video_122.jpg,304.9,344.7,421.0,363.9,855.6,379.5,755.5,414.4,0.2,213.5,437.5,213.5,437.5,397.9,0.2,397.9,687.1,331.6,1400.0,331.6,1400.0,473.9,687.1,473.9,0.8473,0.9989,0.9984,0.8528,0.9999,0.9998,-36.3654,-17.2706,230.9452,-14.881,-9.3957,159.8377,33.5652,-12.368,226.8958,23.9806,-8.9138,259.0977
000017_left_video_123.jpg,303.2,342.9,419.6,364.9,851.5,377.2,752.5,413.3,0.3,208.2,436.7,208.2,436.7,395.5,0.3,395.5,690.3,330.7,1399.9,330.7,1399.9,472.9,690.3,472.9,0.8476,0.9986,0.998,0.8607,0.9999,0.9998,-37.895,-18.2343,241.6778,-15.1488,-9.4514,163.3004,32.5784,-12.3119,222.208,22.3388,-8.8216,245.1407
000017_left_video_124.jpg,309.3,344.4,422.7,373.0,850.5,375.0,750.8,407.7,0.4,208.0,434.9,208.0,434.9,397.5,0.4,397.5,689.2,327.4,1400.0,327.4,1400.0,472.4,689.2,472.4,0.8377,0.987,0.9869,0.8518,0.9999,0.9998,-33.2607,-16.4117,216.4146,-14.3398,-8.7474,155.6839,31.3247,-11.98,214.017,19.8965,-8.1448,220.1345
000017_left_video_125.jpg,322.5,340.4,422.3,382.7,852.8,372.9,751.3,406.6,0.3,203.6,434.1,203.6,434.1,395.1,0.3,395.1,694.4,320.9,1400.0,320.9,1400.0,471.4,694.4,471.4,0.8469,0.8877,0.8994,0.8501,0.9999,0.9998,-30.3397,-15.4958,200.2918,-14.3819,-8.4002,155.0723,29.6528,-11.4435,201.8484,18.5952,-7.9382,206.3314
000017_left_video_126.jpg,313.7,339.7,418.4,379.3,853.7,373.1,750.8,405.4,0.4,206.4,433.8,206.4,433.8,395.5,0.4,395.5,697.2,325.8,1399.9,325.8,1399.9,471.4,697.2,471.4,0.8591,0.9981,0.9974,0.8622,0.9999,0.9998,-31.7255,-16.4972,209.4702,-15.1392,-8.5218,161.6609,30.3994,-11.6417,206.397,19.8972,-8.9227,220.3246
000017_left_video_127.jpg,316.9,336.3,418.4,382.5,853.8,374.7,752.5,402.8,0.3,205.3,433.2,205.3,433.2,396.2,0.3,396.2,700.7,327.2,1400.0,327.2,1400.0,471.5,700.7,471.5,0.8602,0.9974,0.997,0.8622,0.9999,0.9999,-34.0899,-17.6063,223.887,-15.6573,-8.3821,165.9714,30.6605,-11.5534,207.5166,21.4394,-10.0931,237.5801
000017_left_video_128.jpg,310.1,341.6,416.5,382.7,855.7,373.4,750.2,400.6,0.3,207.0,430.2,207.0,430.2,400.4,0.3,400.4,703.0,329.1,1399.9,329.1,1399.9,470.7,703.0,470.7,0.8485,0.9971,0.9962,0.8678,1.0,0.9999,-37.0382,-18.8606,242.1112,-15.7628,-8.0234,167.4308,30.3406,-11.4427,205.7361,20.4064,-9.9866,227.9857
000017_left_video_129.jpg,313.7,344.0,420.9,387.1,851.5,375.6,748.4,399.3,0.3,200.4,428.3,200.4,428.3,403.4,0.3,403.4,705.4,326.9,1400.0,326.9,1400.0,471.2,705.4,471.2,0.8619,0.9983,0.9975,0.8646,1.0,0.9999,-32.9261,-17.0934,218.265,-14.9275,-7.0904,158.4159,30.5178,-11.7131,209.0119,19.0958,-9.7249,214.6236
000017_left_video_13.jpg,425.7,462.8,513.2,539.2,893.2,474.9,786.4,474.3,0.0,320.6,534.8,320.6,534.8,562.8,0.0,562.8,760.8,406.1,1400.0,406.1,1400.0,551.4,760.8,551.4,0.6359,0.9994,0.999,0.7722,1.0,0.9998,-23.1955,-3.0423,261.0574,-7.498,7.4777,181.405,32.0183,-0.0162,188.9823,23.6857,-0.1809,217.9704
000017_left_video_130.jpg,325.4,339.8,415.1,399.9,848.2,374.6,748.8,394.1,0.3,201.6,425.9,201.6,425.9,402.2,0.3,402.2,707.7,330.1,1400.0,330.1,1400.0,470.1,707.7,470.1,0.8622,0.8698,0.8987,0.8696,0.9999,0.9998,-31.4978,-16.4894,208.3335,-14.8779,-6.9044,156.6208,29.8976,-11.6475,205.3569,20.9587,-10.9283,234.8109
000017_left_video_131.jpg,308.3,339.5,417.0,386.8,851.9,372.1,750.7,394.9,0.4,199.2,426.2,199.2,426.2,406.0,0.4,406.0,712.8,324.8,1399.9,324.8,1399.9,468.5,712.8,468.5,0.8651,0.9968,0.9952,0.8639,0.9999,0.9998,-34.2274,-17.5835,224.2885,-15.9572,-7.4605,166.9656,29.8372,-11.5062,203.0372,20.4614,-10.6465,225.8912
000017_left_video_132.jpg,316.0,341.6,413.7,395.3,856.2,372.1,757.7,387.8,0.3,202.3,422.6,202.3,422.6,411.3,0.3,411.3,713.2,324.1,1400.0,324.1,1400.0,468.5,713.2,468.5,0.863,0.9941,0.9925,0.8608,0.9999,0.9998,-35.6427,-18.2407,235.9969,-16.9908,-7.4421,175.0613,31.3602,-11.8381,211.9387,18.5774,-10.0648,207.327
000017_left_video_133.jpg,318.4,342.9,409.8,403.2,854.9,375.9,743.2,390.5,0.3,201.9,422.2,201.9,422.2,413.0,0.3,413.0,715.4,324.5,1400.0,324.5,1400.0,467.9,715.4,467.9,0.8517,0.9804,0.9781,0.8727,0.9999,0.9999,-39.4895,-20.1754,261.4298,-16.8295,-7.0565,172.3066,32.1036,-12.1967,217.1193,17.793,-10.0516,199.0705
000017_left_video_134.jpg,313.8,338.1,413.1,396.1,853.8,370.7,758.9,379.6,0.2,202.0,421.1,202.0,421.1,416.5,0.2,416.5,716.9,324.6,1400.0,324.6,1400.0,466.3,716.9,466.3,0.8628,0.9994,0.9991,0.8609,0.9999,0.9998,-43.365,-22.4143,286.7418,-16.5454,-6.8745,169.2988,31.9017,-12.4215,216.7687,17.6996,-10.789,199.0761
