case_id,images,gt_boxes,pred_boxes_confthr,conf_thr,iou_thr,tp,fp,fn,precision,recall,f1,mAP50,mAP50-95
17,2002,3998,3858,0.25,0.5,3658,200,340,0.94816,0.914957,0.931263,0.895134,0.517578
18,2002,3998,3916,0.25,0.5,3721,195,277,0.950204,0.930715,0.940359,0.922806,0.551205
19,2002,3998,3952,0.25,0.5,3766,186,232,0.952935,0.941971,0.947421,0.933828,0.589553
20,2002,3992,3529,0.25,0.5,3431,98,561,0.97223,0.859469,0.912379,0.837417,0.604464
21,2002,3988,3784,0.25,0.5,3625,159,363,0.957981,0.908977,0.932836,0.893935,0.649798
22,2002,4001,3998,0.25,0.5,3788,210,213,0.947474,0.946763,0.947118,0.939621,0.700472
23,2002,4001,4004,0.25,0.5,3976,28,25,0.993007,0.993752,0.993379,0.990332,0.582696
24,2002,3998,3987,0.25,0.5,3931,56,67,0.985954,0.983242,0.984596,0.975763,0.645922
25,2002,4000,4003,0.25,0.5,3902,101,98,0.974769,0.9755,0.975134,0.965906,0.781076
26,2002,3986,4003,0.25,0.5,3857,146,129,0.963527,0.967637,0.965578,0.945522,0.751895
27,2002,4000,4003,0.25,0.5,3756,247,244,0.938296,0.939,0.938648,0.908709,0.542236
28,2002,3997,3485,0.25,0.5,2886,599,1111,0.828121,0.722042,0.771451,0.689016,0.387293
29,2002,3997,3732,0.25,0.5,3465,267,532,0.928457,0.8669,0.896623,0.846398,0.519064
30,2002,4002,4004,0.25,0.5,3973,31,29,0.992258,0.992754,0.992506,0.990632,0.79981
31,2002,4000,4004,0.25,0.5,3545,459,455,0.885365,0.88625,0.885807,0.883269,0.725271
32,2002,3997,4004,0.25,0.5,3945,59,52,0.985265,0.98699,0.986127,0.979137,0.818698
33,2002,3990,4004,0.25,0.5,2501,1503,1489,0.624625,0.626817,0.625719,0.617257,0.482911
ALL,34034,67943,66270,0.25,0.5,61726,4544,6217,0.931432,0.908497,0.919821,0.894885,0.625391
