case_id,valid_L1,valid_L2,valid_R1,valid_R2,valid_all,z_neg_ratio,z_med_L1,z_med_L2,z_med_R1,z_med_R2,z_p95_L1,z_p95_L2,z_p95_R1,z_p95_R2,disp_med,disp_p95
17,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,0.999001,0.999001,0.859141,0.859141,0.929071,0.0,201.3751,235.9317,228.4653,228.9054,235.762425,247.87524,234.609765,235.19162,2.233681,39.528091
21,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
23,1.0,1.0,1.0,1.0,1.0,0.0,195.6717,199.6792,201.1792,200.6135,214.9513,218.7615,214.9228,210.6357,6.535527,59.509529
24,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
26,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
27,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
28,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29,1.0,1.0,0.879121,0.879121,0.93956,0.0,206.1668,254.5681,256.6012,256.4547,270.8666,271.0853,272.25391,266.0154,2.609369,76.220753
30,1.0,1.0,1.0,1.0,1.0,0.0,236.0228,234.2399,219.8491,229.8484,247.5739,245.6994,238.4181,237.5296,2.707045,104.027599
31,1.0,1.0,1.0,1.0,1.0,0.0,241.6158,242.7524,240.9443,239.774,250.8463,253.6134,253.0777,254.406,7.464427,127.698051
32,1.0,1.0,1.0,1.0,1.0,0.0,239.0424,237.8955,234.8234,234.9371,258.7248,253.0601,257.4778,252.8602,3.811581,106.025152
33,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ALL,0.999833,0.999833,0.956377,0.956377,0.978105,0.0,228.3028,236.6322,228.84925,231.57435,257.8029,259.99008,260.006405,258.89356,3.495428,98.755725
