case_id,valid_L1,valid_L2,valid_R1,valid_R2,valid_all,z_neg_ratio,z_med_L1,z_med_L2,z_med_R1,z_med_R2,z_p95_L1,z_p95_L2,z_p95_R1,z_p95_R2,disp_med,disp_p95
17,0.935065,0.927073,0.85015,0.81019,0.880619,0.0,115.0675,133.9536,197.8589,207.8983,249.515575,233.94071,295.0,295.0,12.120147,56.443743
18,0.936064,0.919081,0.86014,0.815185,0.882617,0.0,116.7562,141.5411,200.8616,224.98245,283.5871,278.26988,295.0,295.0,11.662078,56.43138
19,0.935065,0.906094,0.857143,0.84016,0.884615,0.0,162.45285,151.1988,198.63915,221.9704,295.0,241.02361,295.0,295.0,7.293536,36.92985
20,0.866134,0.866134,0.614386,0.622378,0.742258,0.0,172.5909,195.9596,215.1686,196.9547,242.67712,282.17469,295.0,295.0,6.728873,35.805868
21,0.895105,0.897103,0.807193,0.806194,0.851399,0.0,205.33575,207.4917,193.76255,190.4252,295.0,295.0,244.20665,229.12823,5.027004,22.139136
22,0.843157,0.842158,0.895105,0.899101,0.86988,0.0,197.0424,199.0035,174.02295,184.64635,295.0,290.68975,202.4329,230.089395,4.09893,22.029013
23,0.979021,0.979021,0.566434,0.578422,0.775724,0.0,65.78855,77.96265,169.2882,207.7027,159.54304,159.935015,295.0,295.0,9.106143,44.872851
24,0.997003,0.998002,0.959041,0.961039,0.978771,0.0,125.6054,132.9144,154.43005,155.8813,163.09282,184.37363,212.328175,198.200375,6.056399,26.893363
25,0.942058,0.964036,0.887113,0.899101,0.923077,0.0,82.0705,97.5602,147.2453,161.86685,142.92033,161.08614,295.0,295.0,5.818153,29.263392
26,0.988012,0.981019,0.951049,0.966034,0.971528,0.0,100.2112,109.73075,214.247,144.8789,171.16536,166.80318,295.0,295.0,4.182359,26.506055
27,0.928072,0.944056,0.903097,0.909091,0.921079,0.0,97.2401,89.0643,145.87215,160.2694,295.0,203.35118,267.713665,295.0,5.62738,35.625427
28,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29,0.894106,0.867133,0.727273,0.709291,0.799451,0.0,172.2115,168.86115,182.5792,192.06665,295.0,262.121465,258.960935,295.0,10.548147,48.2331
30,0.992008,0.992008,0.048951,0.054945,0.521978,0.0,20.0,26.6209,218.5687,245.3005,20.94486,35.1283,295.0,295.0,0.126324,0.885833
31,0.852148,0.855145,0.107892,0.111888,0.481768,0.0,20.0,24.89765,84.95255,129.0996,22.46808,41.729125,295.0,295.0,0.140861,1.625451
32,0.961039,0.961039,0.243756,0.270729,0.609141,0.0,20.0,27.32305,185.59155,202.0683,21.919045,32.26378,295.0,295.0,0.199144,17.337204
33,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ALL,0.929604,0.926607,0.685248,0.683583,0.80626,0.0,110.7952,119.4677,180.0884,186.1805,282.9397,241.52242,295.0,295.0,5.402054,36.466666
