case_id,method,disp_p95_raw,disp_p95_kf,improve_disp_p95,jitter_med_raw,jitter_med_kf,improve_jitter_med
17,2d,248.663708,93.931541,154.732166,16.064402,5.58978,10.474621
17,3d_tri,65.39852,41.377622,24.020898,15.530003,6.817188,8.712815
18,2d,298.277285,99.680063,198.597221,15.482894,5.675533,9.80736
18,3d_tri,65.32263,43.587433,21.735197,16.063997,6.91816,9.145837
19,2d,332.704914,111.278076,221.426838,12.242549,4.394836,7.847713
19,3d_tri,44.045087,30.351272,13.693815,9.181117,4.230709,4.950409
20,2d,94.605251,102.575669,-7.970418,12.110532,3.677829,8.432703
20,3d_monster,39.276636,15.061017,24.215619,3.925522,1.244927,2.680594
20,3d_tri,47.60775,29.661665,17.946085,8.727302,2.969945,5.757357
21,2d,77.864496,111.482782,-33.618286,7.546191,2.63906,4.907131
21,3d_tri,26.681384,19.642967,7.038417,6.20918,2.540324,3.668855
22,2d,526.029047,166.599276,359.429771,8.321658,3.640328,4.68133
22,3d_tri,28.884533,19.982527,8.902006,5.483405,2.599343,2.884062
23,2d,309.715175,120.630881,189.084294,19.040352,6.469696,12.570656
23,3d_monster,59.509529,22.437977,37.071552,15.255581,4.578078,10.677503
23,3d_tri,64.378099,40.423769,23.95433,13.382763,4.896992,8.485771
24,2d,53.810891,33.201565,20.609326,14.16845,4.670928,9.497523
24,3d_tri,29.237651,19.184104,10.053548,7.005808,3.284031,3.721777
25,2d,179.743635,81.252337,98.491298,13.946684,4.88935,9.057334
25,3d_tri,34.033639,22.800496,11.233143,7.440031,3.452057,3.987973
26,2d,81.670669,35.067265,46.603405,13.829317,4.510447,9.31887
26,3d_tri,26.92726,18.262108,8.665152,5.252943,2.428204,2.824739
27,2d,148.552336,71.449832,77.102505,20.694805,7.272505,13.4223
27,3d_tri,41.56001,29.9171,11.64291,7.114835,3.491972,3.622863
29,2d,442.273552,136.007613,306.26594,17.821476,6.474267,11.347209
29,3d_monster,77.039089,28.12755,48.91154,5.186311,2.239941,2.946371
29,3d_tri,59.226299,37.295874,21.930425,14.656481,5.964058,8.692424
30,2d,88.937392,47.303914,41.633479,15.257621,5.066313,10.191308
31,2d,698.445944,232.409193,466.03675,21.656292,7.714506,13.941786
32,2d,112.061198,52.18696,59.874238,16.80372,5.486184,11.317536
