case_id,policy_mode,is_2d_ok,reason_2d,2d_f1,2d_mAP50,is_tri_ok,reason_tri,tri_valid_all,tri_disp_p95,tri_z_neg_ratio,tri_z_p95_L1,tri_z_p95_L2,tri_z_p95_R1,tri_z_p95_R2,is_monster_ok,reason_monster,monster_valid_all,monster_disp_p95,monster_z_p95_L1,monster_z_p95_L2,monster_z_p95_R1,monster_z_p95_R2,chosen_code,chosen_disp_p95_raw,chosen_disp_p95_kf,chosen_kf_improve_disp_p95,chosen_jitter_med_raw,chosen_jitter_med_kf,chosen_kf_improve_jitter_med
17,tri,1,pass,0.931263,0.895134,1,pass,0.880619,56.443743,0.0,249.515575,233.94071,295.0,295.0,None,None,None,None,None,None,None,None,tri,65.39852,41.377622,24.020898,15.530003,6.817188,8.712815
18,tri,1,pass,0.940359,0.922806,1,pass,0.882617,56.43138,0.0,283.5871,278.26988,295.0,295.0,None,None,None,None,None,None,None,None,tri,65.32263,43.587433,21.735197,16.063997,6.91816,9.145837
19,tri,1,pass,0.947421,0.933828,1,pass,0.884615,36.92985,0.0,295.0,241.02361,295.0,295.0,None,None,None,None,None,None,None,None,tri,44.045087,30.351272,13.693815,9.181117,4.230709,4.950409
20,monster,1,pass,0.912379,0.837417,0,valid_all<0.80,0.742258,35.805868,0.0,242.67712,282.17469,295.0,295.0,1,pass,0.929071,39.528091,235.762425,247.87524,234.609765,235.19162,monster,39.276636,15.061017,24.215619,3.925522,1.244927,2.680594
21,tri,1,pass,0.932836,0.893935,1,pass,0.851399,22.139136,0.0,295.0,295.0,244.20665,229.12823,None,None,None,None,None,None,None,None,tri,26.681384,19.642967,7.038417,6.20918,2.540324,3.668855
22,tri,1,pass,0.947118,0.939621,1,pass,0.86988,22.029013,0.0,295.0,290.68975,202.4329,230.089395,None,None,None,None,None,None,None,None,tri,28.884533,19.982527,8.902006,5.483405,2.599343,2.884062
23,monster,1,pass,0.993379,0.990332,0,valid_all<0.80,0.775724,44.872851,0.0,159.54304,159.935015,295.0,295.0,1,pass,1.0,59.509529,214.9513,218.7615,214.9228,210.6357,monster,59.509529,22.437977,37.071552,15.255581,4.578078,10.677503
24,tri,1,pass,0.984596,0.975763,1,pass,0.978771,26.893363,0.0,163.09282,184.37363,212.328175,198.200375,None,None,None,None,None,None,None,None,tri,29.237651,19.184104,10.053548,7.005808,3.284031,3.721777
25,tri,1,pass,0.975134,0.965906,1,pass,0.923077,29.263392,0.0,142.92033,161.08614,295.0,295.0,None,None,None,None,None,None,None,None,tri,34.033639,22.800496,11.233143,7.440031,3.452057,3.987973
26,tri,1,pass,0.965578,0.945522,1,pass,0.971528,26.506055,0.0,171.16536,166.80318,295.0,295.0,None,None,None,None,None,None,None,None,tri,26.92726,18.262108,8.665152,5.252943,2.428204,2.824739
27,tri,1,pass,0.938648,0.908709,1,pass,0.921079,35.625427,0.0,295.0,203.35118,267.713665,295.0,None,None,None,None,None,None,None,None,tri,41.56001,29.9171,11.64291,7.114835,3.491972,3.622863
28,None,0,f1<0.85,0.771451,0.689016,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29,monster,1,pass,0.896623,0.846398,0,valid_all<0.80,0.799451,48.2331,0.0,295.0,262.121465,258.960935,295.0,1,pass,0.93956,76.220753,270.8666,271.0853,272.25391,266.0154,monster,77.039089,28.12755,48.91154,5.186311,2.239941,2.946371
30,2d,1,pass,0.992506,0.990632,0,valid_all<0.80,0.521978,0.885833,0.0,20.94486,35.1283,295.0,295.0,0,disp_p95>90.0,1.0,104.027599,247.5739,245.6994,238.4181,237.5296,2d,88.937392,47.303914,41.633479,15.257621,5.066313,10.191308
31,2d,1,pass,0.885807,0.883269,0,valid_all<0.80,0.481768,1.625451,0.0,22.46808,41.729125,295.0,295.0,0,disp_p95>90.0,1.0,127.698051,250.8463,253.6134,253.0777,254.406,2d,698.445944,232.409193,466.03675,21.656292,7.714506,13.941786
32,2d,1,pass,0.986127,0.979137,0,valid_all<0.80,0.609141,17.337204,0.0,21.919045,32.26378,295.0,295.0,0,disp_p95>90.0,1.0,106.025152,258.7248,253.0601,257.4778,252.8602,2d,112.061198,52.18696,59.874238,16.80372,5.486184,11.317536
33,None,0,f1<0.85,0.625719,0.617257,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
